Gewicht (kg);Eural codes;Verwerkings codes;Maand;Jaar;Dag;Week
5,5;200108;Composteren (R3);2;2025;14;7
9,5;200108;Composteren (R3);1;2025;31;5
6,5;200108;Composteren (R3);1;2025;17;3
6,5;200108;Composteren (R3);1;2025;3;1
3,5;200108;Composteren (R3);12;2024;20;51
3,5;200108;Composteren (R3);12;2024;6;49
3,0;200108;Composteren (R3);11;2024;22;47
3,0;200108;Composteren (R3);11;2024;8;45
4,5;200108;Composteren (R3);10;2024;25;43
4,5;200108;Composteren (R3);10;2024;11;41
3,5;200108;Composteren (R3);9;2024;27;39
6,5;200108;Composteren (R3);9;2024;13;37
4,5;200108;Composteren (R3);8;2024;30;35
5,5;200108;Composteren (R3);8;2024;16;33
-9,0;200108;Composteren (R3);8;2024;2;31
6,0;200108;Composteren (R3);7;2024;19;29
3,0;200108;Composteren (R3);7;2024;5;27
5,5;200108;Composteren (R3);6;2024;21;25
8,0;200108;Composteren (R3);6;2024;7;23
2,5;200108;Composteren (R3);5;2024;24;21
5,0;200108;Composteren (R3);5;2024;10;19
7,0;200108;Composteren (R3);4;2024;26;17
7,0;200108;Composteren (R3);4;2024;12;15
8,0;200108;Composteren (R3);3;2024;29;13
8,5;200108;Composteren (R3);3;2024;15;11
8,5;200108;Composteren (R3);3;2024;1;9
6,5;200108;Composteren (R3);2;2024;16;7
-9,0;200108;Composteren (R3);2;2024;2;5
