Age,StudyHours,GamingHours,SleepHours,SocialActivity,AcademicPerformance,GamingSkill,PassFail
21,0.6,9.0,7.0,0,62.0,65.5,Fail
19,37.3,9.3,7.2,7,109.5,58.8,Pass
21,20.0,11.9,7.1,4,94.0,61.7,Pass
21,21.6,12.8,7.4,2,91.3,74.1,Pass
19,27.4,24.0,5.1,9,78.1,98.5,Not participated
19,24.6,10.5,6.6,6,88.1,64.1,Pass
21,37.8,14.0,7.4,6,118.9,61.8,Pass
20,37.8,18.7,7.4,0,106.1,68.1,Pass
21,34.7,11.3,8.2,8,106.8,69.3,Pass
21,25.5,25.1,7.6,1,83.5,92.4,Not participated
21,32.0,17.6,9.0,4,99.3,79.3,Pass
21,27.1,8.8,6.1,4,97.0,56.4,Pass
19,22.9,21.4,6.4,7,79.7,75.1,Not participated
21,5.1,15.8,6.5,7,62.4,93.7,Not participated
20,32.4,16.0,6.9,6,97.7,72.2,Pass
19,32.8,14.4,8.3,6,99.9,72.9,Pass
20,25.0,14.9,5.9,5,85.6,81.6,Pass
20,32.8,23.0,8.1,5,95.2,97.8,Pass
20,26.1,3.1,6.6,8,99.5,49.5,Pass
20,8.3,10.0,7.4,5,72.4,72.5,Fail
19,11.0,2.3,7.5,1,82.6,57.1,Pass
19,8.6,22.6,6.5,1,63.8,87.9,Fail
20,15.1,8.2,7.1,4,76.2,60.7,Pass
20,1.6,26.9,6.7,3,46.2,103.7,Not participated
19,24.7,15.8,5.3,1,88.6,70.3,Pass
19,13.5,24.0,6.7,2,61.1,92.5,Not participated
19,26.2,29.4,5.4,6,75.5,99.9,Not participated
21,15.4,25.2,6.6,7,57.4,96.3,Not participated
21,27.3,26.0,7.4,5,89.5,98.4,Pass
21,13.6,12.2,7.3,4,74.2,79.1,Pass
20,10.4,16.6,7.7,0,71.8,85.4,Pass
21,19.8,7.6,5.4,7,85.5,61.3,Pass
20,27.7,5.9,7.6,2,101.1,54.6,Pass
20,13.9,15.2,6.2,5,63.1,80.6,Fail
21,37.5,17.9,6.6,2,98.1,66.6,Pass
20,1.6,10.2,8.4,6,48.1,80.5,Fail
21,16.7,17.1,5.0,6,68.6,80.0,Fail
21,38.7,26.6,7.4,8,113.0,91.6,Not participated
19,21.9,16.7,7.4,4,77.9,70.4,Pass
21,16.9,21.6,6.6,7,58.1,90.8,Fail
19,22.7,24.2,5.9,9,81.3,99.1,Not participated
21,23.0,29.7,5.9,9,84.4,116.5,Not participated
21,29.3,18.1,8.5,7,98.0,78.2,Pass
19,5.1,24.2,6.8,0,53.3,90.7,Fail
19,10.0,28.9,6.3,4,52.9,115.1,Not participated
21,23.2,28.3,6.8,2,66.8,94.9,Not participated
20,34.7,4.2,7.7,0,106.8,32.3,Pass
19,22.5,12.2,5.6,3,83.6,67.4,Pass
20,9.5,9.7,6.8,7,67.5,71.4,Fail
20,27.2,2.6,7.4,2,102.9,55.5,Pass
20,29.6,19.0,8.8,9,100.9,86.4,Pass
19,9.5,22.1,6.0,1,55.7,89.9,Fail
20,15.1,25.4,6.4,8,69.4,98.2,Not participated
19,21.4,3.7,6.5,9,89.3,59.2,Not participated
20,19.9,26.3,7.4,4,78.8,104.7,Not participated
21,15.6,19.3,6.4,6,71.2,89.6,Fail
21,11.9,21.1,7.1,1,63.0,83.2,Fail
19,4.0,27.3,8.1,8,50.7,114.9,Not participated
21,2.1,18.7,7.8,8,52.3,95.7,Not participated
21,38.3,10.1,6.8,3,113.5,56.9,Pass
20,33.9,24.8,8.5,3,101.8,84.5,Pass
19,14.2,10.9,7.2,5,76.5,68.8,Pass
20,38.3,1.0,7.2,9,119.2,41.6,Not participated
20,27.1,24.9,5.1,9,75.3,101.8,Not participated
20,19.3,10.4,8.9,9,91.3,70.1,Not participated
20,19.7,23.2,5.5,5,73.7,90.3,Pass
20,3.3,10.9,5.9,0,52.1,65.4,Fail
20,3.7,25.8,5.2,8,49.5,111.6,Not participated
20,24.1,6.6,7.6,1,90.1,53.9,Pass
19,22.1,29.2,5.9,4,76.7,99.9,Not participated
21,8.5,23.4,5.7,8,58.9,98.6,Not participated
20,37.8,3.4,5.4,3,116.9,50.9,Pass
20,31.3,17.0,5.4,2,92.3,61.3,Pass
20,4.5,29.6,7.3,6,50.5,116.6,Not participated
20,37.2,14.1,7.8,5,115.5,72.1,Pass
20,39.0,5.5,6.6,7,120.3,33.0,Not participated
20,39.8,14.5,6.9,2,108.5,65.5,Pass
21,2.2,15.4,7.7,4,57.7,83.4,Fail
21,29.5,22.3,5.1,9,92.3,91.9,Not participated
20,21.8,21.0,6.3,3,89.5,83.1,Pass
21,28.2,12.1,8.9,3,99.4,69.1,Pass
19,38.7,6.5,7.3,3,121.7,49.1,Pass
20,27.5,19.4,6.0,9,93.4,86.5,Not participated
19,33.5,12.7,7.1,7,100.2,62.6,Pass
19,34.7,4.0,6.4,5,120.6,56.1,Pass
20,33.5,27.0,7.1,2,87.5,89.7,Not participated
21,17.0,20.7,5.5,9,74.0,105.1,Not participated
19,8.9,20.5,5.5,4,59.5,101.0,Fail
20,15.9,24.7,5.6,5,65.6,88.6,Not participated
19,35.7,15.9,8.8,4,121.2,65.5,Pass
19,5.9,24.5,7.9,5,53.5,96.9,Fail
19,20.5,14.9,5.6,7,78.4,77.7,Pass
19,9.3,2.0,5.8,6,80.6,57.5,Pass
21,23.3,12.2,7.9,4,94.8,68.7,Pass
19,34.5,14.9,5.6,9,107.4,78.6,Not participated
19,35.2,21.6,5.9,5,97.9,89.1,Not participated
19,9.5,3.2,8.9,3,81.1,60.1,Pass
21,36.3,4.2,6.0,8,122.6,47.0,Pass
19,23.7,7.9,7.6,3,90.3,53.6,Pass
19,14.0,8.0,8.9,0,81.9,59.0,Pass
21,28.3,22.0,6.5,6,91.8,89.2,Pass
21,19.3,7.5,5.1,6,82.2,61.6,Pass
21,15.1,19.0,6.0,3,66.6,77.3,Fail
19,28.2,14.8,8.3,2,100.2,71.3,Pass
21,9.9,17.2,8.5,7,74.8,85.9,Not participated
21,13.2,25.1,8.1,4,65.2,96.3,Not participated
19,17.4,12.1,5.5,9,76.6,76.0,Not participated
21,10.1,23.1,8.2,6,59.8,97.2,Fail
19,16.2,12.7,8.7,3,80.1,69.1,Pass
20,22.9,10.6,7.4,3,96.1,56.9,Pass
21,29.6,28.8,8.8,7,89.4,100.6,Not participated
20,30.7,5.5,8.3,7,104.2,57.6,Pass
19,32.9,2.7,7.7,1,113.9,41.5,Pass
21,29.8,23.1,7.3,1,96.1,87.2,Not participated
19,27.2,2.0,6.4,2,99.2,39.2,Pass
20,9.5,25.1,5.6,2,48.7,91.5,Fail
19,16.0,13.1,7.4,0,89.3,67.0,Pass
21,19.1,27.5,6.3,2,62.4,94.8,Not participated
21,3.3,21.6,8.5,5,52.9,95.0,Fail
20,21.1,18.3,9.0,7,86.2,85.5,Pass
19,17.5,28.5,8.0,9,68.1,106.5,Not participated
21,32.1,11.9,5.4,5,99.1,57.5,Pass
20,39.1,28.6,6.2,4,101.1,89.7,Not participated
21,22.2,4.1,5.4,3,78.9,52.4,Pass
21,12.9,14.5,7.6,2,66.6,78.3,Pass
19,1.7,8.1,8.1,3,62.5,72.3,Fail
21,37.0,16.2,8.7,6,107.9,73.2,Pass
19,36.8,4.9,6.8,0,115.5,40.6,Pass
21,10.1,25.2,8.6,6,63.3,104.6,Not participated
20,27.8,25.4,8.5,0,77.8,86.7,Not participated
21,3.0,28.7,6.3,1,50.5,107.7,Not participated
19,6.6,4.6,8.5,3,70.7,54.8,Pass
19,8.7,18.7,6.5,0,56.8,83.3,Fail
20,11.8,14.2,6.2,8,69.8,84.0,Not participated
21,39.8,10.3,7.6,5,117.2,58.4,Pass
21,27.9,10.5,6.3,0,102.0,50.6,Pass
20,15.4,12.4,7.5,0,79.5,67.6,Pass
21,29.5,21.1,7.4,5,98.0,76.2,Pass
21,36.6,17.9,7.3,3,100.5,72.0,Pass
19,38.3,13.8,6.5,3,110.1,58.5,Pass
21,2.3,2.3,7.2,5,60.4,68.0,Fail
21,15.8,2.3,7.4,6,87.1,54.5,Pass
20,4.3,0.1,7.2,8,70.2,61.7,Pass
20,13.4,29.0,6.8,9,59.7,122.7,Not participated
19,6.8,0.2,5.1,4,69.5,47.7,Pass
21,25.9,3.1,7.3,8,104.7,55.0,Not participated
21,15.5,9.4,5.7,3,69.1,58.7,Fail
21,9.2,24.2,7.6,9,55.1,106.3,Not participated
19,10.6,28.9,8.0,1,58.6,112.5,Not participated
19,14.4,23.7,7.0,2,60.7,89.5,Not participated
20,10.4,20.7,7.2,0,63.7,81.8,Fail
19,18.1,15.6,8.8,5,82.0,77.7,Pass
21,1.3,2.6,8.4,5,59.7,70.8,Fail
21,11.2,28.7,8.7,0,54.0,105.7,Not participated
19,16.4,22.8,8.3,2,59.8,85.3,Fail
21,24.1,19.2,5.4,4,75.5,88.4,Pass
21,10.8,22.8,5.6,2,59.2,84.3,Fail
19,5.3,21.7,7.1,9,55.6,112.2,Not participated
19,3.0,19.1,6.0,2,52.2,93.4,Fail
21,37.6,29.4,6.9,9,92.8,109.6,Not participated
21,16.7,27.1,6.6,2,66.5,90.0,Not participated
21,23.2,19.4,7.2,4,85.7,82.8,Pass
20,36.8,20.8,8.0,4,98.2,77.3,Pass
20,3.3,1.5,7.9,3,70.2,49.9,Pass
20,35.1,20.1,7.1,0,104.1,66.2,Pass
19,22.1,1.3,8.3,4,96.3,48.9,Pass
20,6.6,17.6,6.7,9,64.5,95.7,Not participated
19,16.5,30.0,8.6,4,65.6,113.0,Not participated
19,31.1,16.7,5.3,3,89.6,68.9,Pass
20,19.2,14.2,8.8,5,87.8,74.1,Pass
20,39.4,9.4,7.6,9,126.9,53.0,Not participated
20,15.1,3.6,6.5,3,83.2,61.0,Pass
21,30.0,21.9,5.8,6,92.3,86.3,Pass
20,15.7,5.8,6.9,6,80.2,64.6,Pass
21,33.2,3.5,5.8,1,102.4,45.4,Pass
19,22.8,12.7,5.7,2,86.3,73.7,Pass
21,2.5,23.9,7.5,0,51.3,92.4,Fail
20,1.5,22.4,7.1,7,46.7,105.9,Fail
19,5.4,1.6,7.7,8,75.4,60.0,Not participated
19,0.5,13.7,8.7,3,53.9,91.3,Fail
19,3.0,15.7,7.1,5,51.6,81.7,Fail
21,27.7,19.3,7.3,8,96.0,90.2,Not participated
20,21.4,19.5,5.4,5,82.6,86.1,Pass
19,30.0,10.9,7.9,8,98.9,67.9,Not participated
19,36.5,16.8,6.6,3,113.1,69.2,Pass
19,23.4,14.4,8.9,7,89.9,82.2,Pass
21,29.0,26.5,8.3,8,89.3,99.4,Not participated
21,30.3,15.9,7.1,3,96.5,62.6,Pass
20,15.1,13.2,5.5,4,75.7,79.7,Pass
21,9.6,12.1,8.4,7,72.9,83.0,Pass
19,8.2,17.2,8.2,9,66.2,94.0,Fail
20,10.1,24.1,5.7,5,52.2,93.5,Fail
19,11.0,16.2,6.2,6,57.5,79.2,Fail
19,8.3,19.8,8.2,2,68.7,78.5,Pass
21,35.1,22.1,5.7,6,93.6,86.2,Pass
20,30.3,15.6,8.7,7,100.1,67.7,Pass
21,1.9,12.8,6.7,9,57.6,76.9,Not participated
21,10.7,26.3,5.3,5,63.8,109.6,Fail
20,0.9,12.5,8.3,9,58.8,89.2,Not participated
19,19.9,13.9,6.5,8,79.8,75.8,Pass
19,19.0,29.7,7.1,5,66.3,105.2,Not participated
20,33.3,0.0,5.4,8,110.6,30.9,Pass
19,12.3,5.6,5.0,3,69.4,63.2,Pass
20,32.7,11.5,7.6,7,105.2,61.6,Pass
20,38.7,28.0,7.1,3,99.6,91.9,Not participated
21,3.5,2.1,7.4,1,76.6,41.2,Pass
20,31.7,0.3,8.2,9,113.3,50.4,Pass
21,23.6,1.6,7.6,8,89.7,47.2,Pass
19,19.2,2.7,5.7,4,101.4,43.7,Pass
19,16.8,1.1,6.4,3,91.9,45.7,Pass
19,31.4,14.4,8.6,1,113.2,61.3,Pass
19,25.6,17.4,8.1,0,84.9,77.4,Pass
21,32.2,8.2,7.2,6,105.0,55.4,Pass
19,36.1,11.9,6.0,5,110.0,68.6,Pass
20,24.7,2.8,6.2,1,99.9,46.1,Pass
20,39.2,10.1,7.9,7,118.1,63.5,Pass
20,24.3,15.7,8.4,3,79.7,72.8,Pass
21,25.5,22.0,7.7,7,77.5,96.0,Pass
19,22.2,0.1,8.2,6,107.2,40.5,Pass
19,3.6,14.0,8.1,4,68.9,81.6,Fail
19,29.1,8.9,5.6,9,97.2,62.1,Not participated
21,21.9,25.6,6.7,9,82.7,108.0,Not participated
20,18.0,21.5,5.6,7,65.9,99.9,Fail
20,36.4,17.7,5.9,8,98.3,76.8,Pass
19,11.9,8.3,8.5,4,72.7,59.0,Pass
20,20.9,27.3,6.9,9,69.1,107.1,Not participated
