Gewicht (kg);Eural codes;Verwerkings codes;Maand;Jaar;Dag;Week
-9,0;150101;Recyclage (R3);2;2025;14;7
-9,0;150101;Recyclage (R3);1;2025;17;3
-9,0;150101;Recyclage (R3);12;2024;24;52
-9,0;150101;Recyclage (R3);11;2024;26;48
-9,0;150101;Recyclage (R3);10;2024;29;44
-9,0;150101;Recyclage (R3);10;2024;1;40
-9,0;150101;Recyclage (R3);9;2024;3;36
-9,0;150101;Recyclage (R3);8;2024;6;32
-9,0;150101;Recyclage (R3);7;2024;9;28
-9,0;150101;Recyclage (R3);6;2024;11;24
-9,0;150101;Recyclage (R3);5;2024;14;20
-9,0;150101;Recyclage (R3);4;2024;16;16
-9,0;150101;Recyclage (R3);3;2024;19;12
-9,0;150101;Recyclage (R3);2;2024;20;8
-9,0;150101;Recyclage (R3);1;2024;23;4
-9,0;150101;Recyclage (R3);12;2023;26;52
-9,0;150101;Recyclage (R3);11;2023;28;48
-9,0;150101;Recyclage (R3);10;2023;31;44
-9,0;150101;Recyclage (R3);10;2023;3;40
-9,0;150101;Recyclage (R3);9;2023;5;36
-9,0;150101;Recyclage (R3);8;2023;8;32
-9,0;150101;Recyclage (R3);7;2023;11;28
-9,0;150101;Recyclage (R3);6;2023;13;24
-9,0;150101;Recyclage (R3);5;2023;16;20
-9,0;150101;Recyclage (R3);4;2023;18;16
-9,0;150101;Recyclage (R3);3;2023;21;12
-9,0;150101;Recyclage (R3);2;2023;21;8
-9,0;150101;Recyclage (R3);1;2023;24;4
-9,0;150101;Recyclage (R3);12;2022;30;52
-9,0;150101;Recyclage (R3);12;2022;2;48
-9,0;150101;Recyclage (R3);11;2022;4;44
-9,0;150101;Recyclage (R3);10;2022;7;40
-9,0;150101;Recyclage (R3);9;2022;9;36
-9,0;150101;Recyclage (R3);8;2022;12;32
-9,0;150101;Recyclage (R3);7;2022;15;28
-9,0;150101;Recyclage (R3);6;2022;17;24
-9,0;150101;Recyclage (R3);5;2022;20;20
-9,0;150101;Recyclage (R3);4;2022;22;16
-9,0;150101;Recyclage (R3);3;2022;25;12
-9,0;150101;Recyclage (R3);2;2022;25;8
-9,0;150101;Recyclage (R3);1;2022;28;4
-9,0;150101;Recyclage (R3);12;2021;31;52
-9,0;150101;Recyclage (R3);12;2021;3;48
-9,0;150101;Recyclage (R3);11;2021;5;44
-9,0;150101;Recyclage (R3);10;2021;8;40
-9,0;150101;Recyclage (R3);9;2021;10;36
-9,0;150101;Recyclage (R3);8;2021;13;32
-9,0;150101;Recyclage (R3);7;2021;16;28
-9,0;150101;Recyclage (R3);6;2021;18;24
-9,0;150101;Recyclage (R3);5;2021;21;20
-9,0;150101;Recyclage (R3);4;2021;23;16
-9,0;150101;Recyclage (R3);3;2021;26;12
