cad49.cadvision.com - - [01/Jun/1995:00:53:19 -0600] "GET /~lowey/webville/icons/blank_32.gif" 200 167
130.89.250.24 - - [01/Jun/1995:02:45:12 -0600] "GET /~lowey/webville/icons/south_32.gif" 200 210
130.54.25.198 - - [01/Jun/1995:03:29:56 -0600] "GET /~macphed/finite/fe_resources/node92.html" 200 1668
148.81.17.41 - - [01/Jun/1995:04:02:17 -0600] "GET /~friesend/tolkien/rootpage.html" 200 461
anumsun6.univ-st-etienne.fr - - [01/Jun/1995:04:40:30 -0600] "GET /~macphed/finite/fe_resources/node58.html" 200 1707
itlab56.cqu.edu.au - - [01/Jun/1995:05:47:24 -0600] "GET /~turner/paul2.gif" 200 97788
139.103.32.55 - - [01/Jun/1995:06:23:57 -0600] "GET /~lowey/Saskatoon/index.html" 200 1503
anumsun6.univ-st-etienne.fr - - [01/Jun/1995:06:51:13 -0600] "GET /~macphed/finite/fe_resources/node83.html" 200 1417
ppp-dial5.wchat.on.ca - - [01/Jun/1995:07:36:52 -0600] "GET /~macpherc/hibs/hibs.html" 200 6622
sask.usask.ca - - [01/Jun/1995:08:10:35 -0600] "GET /~harring/" 200 1423
atc.boeing.com - - [01/Jun/1995:08:36:12 -0600] "GET /~macphed/finite/fe_resources/node24.html" 200 1563
yak-ts1-p19.wolfe.net - - [01/Jun/1995:08:50:30 -0600] "GET /~lowey/Webville/icons/map_32.gif" 200 311
duke.usask.ca - - [01/Jun/1995:09:03:27 -0600] "GET /~harring/" 200 1423
cronos.hol.gr - - [01/Jun/1995:09:16:46 -0600] "GET /~ladd/images/hline.gif" 200 2424
gatekeeper.mitre.org - - [01/Jun/1995:09:26:15 -0600] "GET /images/question_32.gif HTTP/1.0" 200 214
beaufix.uqss.uquebec.ca - - [01/Jun/1995:09:34:27 -0600] "GET /cgi-bin/hytelnet?file=SITES2 HTTP/1.0" 200 1091
albert.usask.ca - - [01/Jun/1995:09:39:24 -0600] "GET / HTTP/1.0" 200 3384
gatekeeper.mitre.org - - [01/Jun/1995:09:43:12 -0600] "GET /dcs/courses/cai/html/examples/a_relative.html HTTP/1.0" 304 0
broadway.sfn.saskatoon.sk.ca - - [01/Jun/1995:09:47:39 -0600] "GET /~scottp/free.html" 200 5759
crclrc.demon.co.uk - - [01/Jun/1995:09:55:20 -0600] "GET /~macpherc/images/new2.gif" 200 1017
g604.interlink.net - - [01/Jun/1995:10:01:00 -0600] "GET /library/gic/v1n1/macaulay/macaulay.gif HTTP/1.0" 200 22909
ag59047.usask.ca - - [01/Jun/1995:10:04:50 -0600] "GET /images/logo.gif HTTP/1.0" 304 0
andora.usask.ca - - [01/Jun/1995:10:09:31 -0600] "GET /~philmic/blueback.gif" 200 5912
mac40212.usask.ca - - [01/Jun/1995:10:14:27 -0600] "GET /departments.html HTTP/1.0" 200 6060
heat.eng.unb.ca - - [01/Jun/1995:10:22:09 -0600] "GET /~lowey/Saskatoon/about_saskatoon/maps.html" 200 793
comp.uark.edu - - [01/Jun/1995:10:27:02 -0600] "GET /cgi-bin/hytelnet?file=OTH107 HTTP/1.0" 200 1082
edu262.usask.ca - - [01/Jun/1995:10:33:07 -0600] "GET /education HTTP/1.0" 302 -
204.50.11.135 - - [01/Jun/1995:10:37:47 -0600] "GET /~dougallg/b_media.gif" 200 699
sophocles.algonet.se - - [01/Jun/1995:10:44:18 -0600] "GET / HTTP/1.0" 200 3384
edu239.usask.ca - - [01/Jun/1995:10:54:12 -0600] "GET /education HTTP/1.0" 302 -
128.233.12.170 - - [01/Jun/1995:11:04:31 -0600] "GET /images/logo.gif HTTP/1.0" 200 2273
herald.usask.ca - - [01/Jun/1995:11:07:21 -0600] "GET /alternate_views.html HTTP/1.0" 200 3041
sclinet1.shell.ca - - [01/Jun/1995:11:12:46 -0600] "GET /~reevesm/images/building1.gif" 200 100529
athena.compulink.gr - - [01/Jun/1995:11:16:56 -0600] "GET /~lowey/encyclopedia/icons/bookshelf.gif" 200 214
ag5884.usask.ca - - [01/Jun/1995:11:20:17 -0600] "GET / HTTP/1.0" 304 0
yellow.osc.on.ca - - [01/Jun/1995:11:24:58 -0600] "GET /~scottp/conf" 200 7691
suspects.com - - [01/Jun/1995:11:31:09 -0600] "GET /cgi-bin/hytelnet HTTP/1.0" 200 1485
129.59.155.35 - - [01/Jun/1995:11:40:31 -0600] "GET /cgi-bin/hytelnet?file=SITES1A HTTP/1.0" 200 489
193.68.136.228 - - [01/Jun/1995:11:50:23 -0600] "GET /~lowey/encyclopedia/icons/index.gif" 200 172
mac40208.usask.ca - - [01/Jun/1995:11:56:45 -0600] "GET /alternate_views.html HTTP/1.0" 200 3041
irh20004.uqtr.uquebec.ca - - [01/Jun/1995:12:04:50 -0600] "GET /cgi-bin/hytelnet HTTP/1.0" 200 1485
anders.usask.ca - - [01/Jun/1995:12:13:38 -0600] "GET /images/logo.gif HTTP/1.0" 200 2273
ecs_mac_sc1008e.educ.ubc.ca - - [01/Jun/1995:12:23:09 -0600] "GET /~dougallg/b_canada.gif" 200 823
cistron.usask.ca - - [01/Jun/1995:12:31:08 -0600] "GET / HTTP/1.0" 200 3384
lib74079.usask.ca - - [01/Jun/1995:12:39:59 -0600] "GET /images/letter_32.gif HTTP/1.0" 200 149
797.rahul.net - - [01/Jun/1995:12:50:18 -0600] "GET /~lowey/encyclopedia/m/index.html" 200 1898
infant1.sphs.indiana.edu - - [01/Jun/1995:13:01:12 -0600] "GET /cgi-bin/hytelnet?file=US000MED HTTP/1.0" 200 4653
146.229.9.32 - - [01/Jun/1995:13:05:35 -0600] "GET /~macphed/finite/fe_resources/node52.html" 200 1698
duke.usask.ca - - [01/Jun/1995:13:09:03 -0600] "GET /~harring/symphony/contents.html" 200 1598
str006.usask.ca - - [01/Jun/1995:13:13:55 -0600] "GET / HTTP/1.0" 200 3384
tburns.adm-houchens.louisville.edu - - [01/Jun/1995:13:20:03 -0600] "GET /~ladd/images/new1.gif" 200 116
ag5884.usask.ca - - [01/Jun/1995:13:28:00 -0600] "GET / HTTP/1.0" 304 0
lemoyne.edu - - [01/Jun/1995:13:38:03 -0600] "GET /~scottp/publish.html" 200 271
duke.usask.ca - - [01/Jun/1995:13:49:24 -0600] "GET /Mosaic/NCSAMosaicHome.html HTTP/1.0" 200 2876
chem48009.usask.ca - - [01/Jun/1995:13:58:43 -0600] "GET /search/index.shtml HTTP/1.0" 200 1107
pm1-01.magicnet.net - - [01/Jun/1995:14:06:01 -0600] "GET /cgi-bin/hytelnet?file=US483 HTTP/1.0" 200 349
198.247.152.56 - - [01/Jun/1995:14:11:34 -0600] "GET /~scottp/publish.html" 200 271
sachdev.usask.ca - - [01/Jun/1995:14:17:18 -0600] "GET / HTTP/1.0" 200 3384
132.236.132.18 - - [01/Jun/1995:14:23:44 -0600] "GET /~lowey/webville/icons/sound_32.gif" 200 211
bush.elis.rug.ac.be - - [01/Jun/1995:14:29:44 -0600] "GET / HTTP/1.0" 200 3384
willow.usask.ca - - [01/Jun/1995:14:36:45 -0600] "GET / HTTP/1.0" 200 3384
soa006.usask.ca - - [01/Jun/1995:14:44:59 -0600] "GET /images/logo.gif HTTP/1.0" 200 2273
ix-pas10-07.ix.netcom.com - - [01/Jun/1995:14:49:04 -0600] "GET /~scottp/publish.html" 200 271
acct_ast.capcon.net - - [01/Jun/1995:14:54:23 -0600] "GET /images/logo_32.gif HTTP/1.0" 200 1640
decent.usask.ca - - [01/Jun/1995:15:00:37 -0600] "GET /images/logo.gif HTTP/1.0" 304 0
infolink-is.isnet.net - - [01/Jun/1995:15:06:49 -0600] "GET /~lowey/Saskatoon/about_saskatoon/weather.html" 200 1250
jaeger.usask.ca - - [01/Jun/1995:15:13:56 -0600] "GET /~maton/sm-antarctica.gif" 200 5825
alice-thurman.tenet.edu - - [01/Jun/1995:15:19:02 -0600] "GET /~lowey/webville/places/info_centre/index.html" 200 1224
mishka.usask.ca - - [01/Jun/1995:15:24:23 -0600] "GET /~lowey/Saskatchewan/icons/citynet.gif" 200 776
olie.wvitcoe.wvnet.edu - - [01/Jun/1995:15:29:54 -0600] "GET /~ladd/images/hline.gif" 200 2424
ped44071.usask.ca - - [01/Jun/1995:15:40:32 -0600] "GET /images/logo.gif HTTP/1.0" 200 2273
ag58175.usask.ca - - [01/Jun/1995:15:47:47 -0600] "GET / HTTP/1.0" 304 0
loki.usask.ca - - [01/Jun/1995:15:54:28 -0600] "GET /images/logo.gif HTTP/1.0" 200 2273
edu269.usask.ca - - [01/Jun/1995:16:02:39 -0600] "GET /education/ HTTP/1.0" 200 8357
csmaclab-mac12.uchicago.edu - - [01/Jun/1995:16:10:46 -0600] "GET /dcs/courses/cai/html/contents.html HTTP/1.0" 200 1453
csmaclab-mac14.uchicago.edu - - [01/Jun/1995:16:22:35 -0600] "GET /dcs/courses/cai/html/ HTTP/1.0" 200 1716
aha345.ccs.itd.umich.edu - - [01/Jun/1995:16:29:55 -0600] "GET /~turner/paul2.gif" 200 97788
sask.usask.ca - - [01/Jun/1995:16:38:03 -0600] "GET /dcs/courses/cai/html/unix_lesson/index.html HTTP/1.0" 200 1492
sask.usask.ca - - [01/Jun/1995:16:48:28 -0600] "GET /dcs/courses/cai/html/glossary/comment.html HTTP/1.0" 200 982
tazzie.usask.ca - - [01/Jun/1995:17:01:25 -0600] "GET /~philmic/" 200 993
199.126.10.6 - - [01/Jun/1995:17:08:30 -0600] "GET / HTTP/1.0" 200 3384
cob807.hcob.wmich.edu - - [01/Jun/1995:17:29:34 -0600] "GET /cgi-bin/hytelnet HTTP/1.0" 200 1485
discus.anu.edu.au - - [01/Jun/1995:17:40:44 -0600] "GET /cgi-bin/hytelnet?file=US000 HTTP/1.0" 200 798
toyon-94-121.stanford.edu - - [01/Jun/1995:17:49:27 -0600] "GET /~macpherc/images/hot.gif" 200 1324
itjio.fullerton.edu - - [01/Jun/1995:17:58:25 -0600] "GET /~turner/ferrets1.GIF" 200 24409
m91889.mcclellan.af.mil - - [01/Jun/1995:18:20:02 -0600] "GET /~ladd/images/at_work.gif" 200 242
m91889.mcclellan.af.mil - - [01/Jun/1995:18:27:11 -0600] "GET /~ladd/ratite_home.html" 200 3281
134.196.27.103 - - [01/Jun/1995:18:36:20 -0600] "GET /~lowey/encyclopedia/icons/kevhead.gif" 200 1667
infoserv.utdallas.edu - - [01/Jun/1995:18:40:45 -0600] "GET /~lowey/kev_dino.gif" 200 38469
slip42.gulf.net - - [01/Jun/1995:18:53:10 -0600] "GET /~ladd/ratite_home.html" 200 3281
bos1d.delphi.com - - [01/Jun/1995:19:17:27 -0600] "GET /cgi-bin/hytelnet?file=SITES1 HTTP/1.0" 200 354
toronto.cbc.ca - - [01/Jun/1995:19:30:58 -0600] "GET /lycos/spider-icon.gif HTTP/1.0" 200 881
chaos.idirect.com - - [01/Jun/1995:19:43:31 -0600] "GET /cgi-bin/hytelnet?file=OP004 HTTP/1.0" 200 1540
bos1f.delphi.com - - [01/Jun/1995:19:56:16 -0600] "GET /cgi-bin/hytelnet?file=SITES1 HTTP/1.0" 200 354
line05.pm2.nwm.mindlink.net - - [01/Jun/1995:20:07:40 -0600] "GET /~keele/images/lefarrow.gif" 200 1289
calis01.lang.duke.edu - - [01/Jun/1995:20:16:19 -0600] "GET /~maton/button.xbm" 200 246
dial186105.wbm.ca - - [01/Jun/1995:20:41:08 -0600] "GET / HTTP/1.0" 200 3384
dd02-021.compuserve.com - - [01/Jun/1995:20:56:52 -0600] "GET /~lowey/Saskatoon/searching/people.html" 200 761
yhqfm.yokogawa.co.jp - - [01/Jun/1995:21:19:03 -0600] "GET /~scottp/publish.html" 200 271
mirage.netrover.com - - [01/Jun/1995:21:36:34 -0600] "GET /cgi-bin/cusi?query=&service=http%3A%2F%2Fcuiwww.unige.ch%2Ffreecomp%3F_cusi-search-term-here_ HTTP/1.0" 400 30
herald.usask.ca - - [01/Jun/1995:21:44:23 -0600] "GET /psychiatry/ HTTP/1.0" 200 4462
sabre23.sasknet.sk.ca - - [01/Jun/1995:21:50:37 -0600] "GET /~lowey/icons/kevhead.gif" 200 1783
dial025.passport.ca - - [01/Jun/1995:21:58:27 -0600] "GET /~dougallg/welcome.wav" 200 33044
edu269.usask.ca - - [01/Jun/1995:22:05:10 -0600] "GET /horticulture/imgs/line.gif HTTP/1.0" 200 1131
ppp122.cac.psu.edu - - [01/Jun/1995:22:15:58 -0600] "GET /~keele/images/line.gif" 200 1131
204.92.49.16 - - [01/Jun/1995:22:34:04 -0600] "GET /library/gic/ HTTP/1.0" 200 1117
broadway.sfn.saskatoon.sk.ca - - [01/Jun/1995:22:45:42 -0600] "GET /~medialit/keypalm.htm" 200 1334
lkan.hle.niigata-u.ac.jp - - [01/Jun/1995:23:04:51 -0600] "GET /~macphed/finite/fe_resources/node45.html" 200 1797
sabre38.sasknet.sk.ca - - [01/Jun/1995:23:19:55 -0600] "GET /~lowey/Saskatoon/about_saskatoon/weather.html" 200 1250
sklib.usask.ca - - [01/Jun/1995:23:33:42 -0600] "GET /search/people.shtml HTTP/1.0" 200 896
ellardr.worldgate.edmonton.ab.ca - - [01/Jun/1995:23:45:47 -0600] "GET /~lowey/Saskatoon/about_saskatoon/index.html" 200 868
